# y+ ()       
# Time        	patch         	min           	max           	average       
0             	topWall	1.802376e-08	1.802376e-08	1.802376e-08
0             	botWall	1.802376e-08	1.802376e-08	1.802376e-08
2             	topWall	1.802376e-08	1.802376e-08	1.802376e-08
2             	botWall	1.802376e-08	1.802376e-08	1.802376e-08
4             	topWall	1.802376e-08	1.802376e-08	1.802376e-08
4             	botWall	1.802376e-08	1.802376e-08	1.802376e-08
6             	topWall	1.802376e-08	1.802376e-08	1.802376e-08
6             	botWall	1.802376e-08	1.802376e-08	1.802376e-08
8             	topWall	1.802376e-08	1.802376e-08	1.802376e-08
8             	botWall	1.802376e-08	1.802376e-08	1.802376e-08
10            	topWall	1.802376e-08	1.802376e-08	1.802376e-08
10            	botWall	1.802376e-08	1.802376e-08	1.802376e-08
