Points_0,Points_1,Points_2,Points_Magnitude,R_0,R_1,R_2,R_3,R_4,R_5,R_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,U_0,U_1,U_2,U_Magnitude,alpha.water,arc_length,devReff_0,devReff_1,devReff_2,devReff_3,devReff_4,devReff_5,devReff_Magnitude,epsilon,k,nuEff,nut,omega,p,p_rgh,Point ID,vtkValidPointMask,yPlus
0.2,0,0.0005,0.200001,1.09663e-08,1.09663e-08,1.09663e-08,0,0,0,1.89943e-08,0,0,0,0,0,0,0,0,0,0,0,0.014576,1.631e-08,0,0.014576,0.999456,0,1.62465e-08,-1.5509e-08,-7.3759e-10,-0.00660049,0,0,0.00660049,0.000128716,1.64496e-08,0.000188679,0,86943.4,-0.179948,-0.179948,0,1,0.000155132
0.2,0.0001,0.0005,0.200001,2.99162e-08,2.99162e-08,2.99162e-08,-6.73987e-11,0,0,5.18165e-08,0.00347097,4.76221e-09,0,0.00347097,0,0,0,0,0,0,0,0.0162979,1.9115e-08,0,0.0162979,0.999488,0.0001,1.64346e-08,-1.58338e-08,-6.00794e-10,-0.00658809,0,0,0.00658809,0.000160686,4.48744e-08,0.000188679,1.9728e-12,82626.5,-0.191118,-0.181309,1,1,0.000136517
0.2,0.0002,0.0005,0.200001,4.88661e-08,4.88661e-08,4.88661e-08,-1.34797e-10,0,0,8.46387e-08,0.00694195,9.52443e-09,0,0.00694195,0,0,0,0,0,0,0,0.0180197,2.192e-08,0,0.0180197,0.999521,0.0002,1.66226e-08,-1.61586e-08,-4.63999e-10,-0.0065757,0,0,0.0065757,0.000192655,7.32992e-08,0.000188679,3.94561e-12,78309.6,-0.202287,-0.18267,2,1,0.000117901
0.2,0.0003,0.0005,0.200001,6.7816e-08,6.7816e-08,6.7816e-08,-2.02196e-10,0,0,1.17461e-07,0.0104129,1.42866e-08,0,0.0104129,0,0,0,0,0,0,0,0.0197416,2.4725e-08,0,0.0197416,0.999553,0.0003,1.68106e-08,-1.64834e-08,-3.27203e-10,-0.00656331,0,0,0.00656331,0.000224625,1.01724e-07,0.000188679,5.91841e-12,73992.7,-0.213457,-0.18403,3,1,9.92848e-05
0.2,0.0004,0.0005,0.200001,8.67658e-08,8.67658e-08,8.67658e-08,-2.69595e-10,0,0,1.50283e-07,0.0138839,1.90489e-08,0,0.0138839,0,0,0,0,0,0,0,0.0214634,2.75301e-08,0,0.0214634,0.999586,0.0004,1.69986e-08,-1.68082e-08,-1.90407e-10,-0.00655092,0,0,0.00655092,0.000256594,1.30149e-07,0.000188679,7.89121e-12,69675.8,-0.224626,-0.185391,4,1,8.06689e-05
0.2,0.0005,0.0005,0.200001,1.05716e-07,1.05716e-07,1.05716e-07,-3.36994e-10,0,0,1.83105e-07,0.0173549,2.38111e-08,0,0.0173549,0,0,0,0,0,0,0,0.0231853,3.03351e-08,0,0.0231853,0.999618,0.0005,1.71866e-08,-1.7133e-08,-5.36114e-11,-0.00653852,0,0,0.00653852,0.000288564,1.58574e-07,0.000188679,9.86401e-12,65358.8,-0.235796,-0.186752,5,1,6.2053e-05
0.2,0.0006,0.0005,0.200002,1.24666e-07,1.24666e-07,1.24666e-07,-4.04392e-10,0,0,2.15927e-07,0.0208258,2.85733e-08,0,0.0208258,0,0,0,0,0,0,0,0.0249071,3.31401e-08,0,0.0249071,0.999651,0.0006,1.73747e-08,-1.74579e-08,8.31843e-11,-0.00652613,0,0,0.00652613,0.000320533,1.86998e-07,0.000188679,1.18368e-11,61041.9,-0.246966,-0.188113,6,1,4.34371e-05
0.2,0.0007,0.0005,0.200002,1.43615e-07,1.43615e-07,1.43615e-07,-4.71791e-10,0,0,2.4875e-07,0.0242968,3.33355e-08,0,0.0242968,0,0,0,0,0,0,0,0.026629,3.59451e-08,0,0.026629,0.999683,0.0007,1.75627e-08,-1.77827e-08,2.1998e-10,-0.00651374,0,0,0.00651374,0.000352503,2.15423e-07,0.000188679,1.38096e-11,56725,-0.258135,-0.189474,7,1,2.48212e-05
0.2,0.0008,0.0005,0.200002,1.62565e-07,1.62565e-07,1.62565e-07,-5.3919e-10,0,0,2.81572e-07,0.0277678,3.80977e-08,0,0.0277678,0,0,0,0,0,0,0,0.0283508,3.87501e-08,0,0.0283508,0.999716,0.0008,1.77507e-08,-1.81075e-08,3.56776e-10,-0.00650135,0,0,0.00650135,0.000384472,2.43848e-07,0.000188679,1.57824e-11,52408.1,-0.269305,-0.190834,8,1,6.2053e-06
0.2,0.0009,0.0005,0.200003,2.59074e-07,2.59074e-07,2.59074e-07,-1.45546e-09,0,0,4.48732e-07,0.0312022,4.30887e-08,0,0.0312022,0,0,0,0,0,0,0,0.0312022,4.30887e-08,0,0.0312022,0.999748,0.0009,1.77732e-08,-1.81596e-08,3.86388e-10,-0.00648896,0,0,0.00648896,0.000452518,3.88612e-07,0.000188679,4.30294e-11,47695.9,-0.280476,-0.192195,9,1,0
0.2,0.001,0.0005,0.200003,3.94362e-07,3.94362e-07,3.94362e-07,-2.79616e-09,0,0,6.83061e-07,0.0346182,4.81941e-08,0,0.0346182,0,0,0,0,0,0,0,0.0346182,4.81941e-08,0,0.0346182,0.999781,0.001,1.77128e-08,-1.80753e-08,3.6241e-10,-0.00647657,0,0,0.00647657,0.000538603,5.91545e-07,0.000188679,8.29134e-11,42785.9,-0.291648,-0.193556,10,1,0
0.2,0.0011,0.0005,0.200004,5.2965e-07,5.2965e-07,5.2965e-07,-4.13686e-09,0,0,9.17391e-07,0.0380343,5.32995e-08,0,0.0380343,0,0,0,0,0,0,0,0.0380343,5.32995e-08,0,0.0380343,0.999813,0.0011,1.76525e-08,-1.79909e-08,3.38431e-10,-0.00646418,0,0,0.00646418,0.000624688,7.94477e-07,0.000188679,1.22797e-10,37876,-0.30282,-0.194917,11,1,0
0.2,0.0012,0.0005,0.200004,6.64939e-07,6.64939e-07,6.64939e-07,-5.47756e-09,0,0,1.15172e-06,0.0414504,5.84049e-08,0,0.0414504,0,0,0,0,0,0,0,0.0414504,5.84049e-08,0,0.0414504,0.999846,0.0012,1.75921e-08,-1.79066e-08,3.14452e-10,-0.00645179,0,0,0.00645179,0.000710772,9.97411e-07,0.000188679,1.62681e-10,32966.1,-0.313992,-0.196277,12,1,0
0.2,0.0013,0.0005,0.200005,8.00227e-07,8.00227e-07,8.00227e-07,-6.81827e-09,0,0,1.38605e-06,0.0448665,6.35103e-08,0,0.0448665,0,0,0,0,0,0,0,0.0448665,6.35103e-08,0,0.0448665,0.999878,0.0013,1.75318e-08,-1.78223e-08,2.90474e-10,-0.00643941,0,0,0.00643941,0.000796857,1.20034e-06,0.000188679,2.02565e-10,28056.2,-0.325164,-0.197638,13,1,0
0.2,0.0014,0.0005,0.200006,9.35515e-07,9.35515e-07,9.35515e-07,-8.15897e-09,0,0,1.62038e-06,0.0482825,6.86156e-08,0,0.0482825,0,0,0,0,0,0,0,0.0482825,6.86156e-08,0,0.0482825,0.999911,0.0014,1.74715e-08,-1.7738e-08,2.66495e-10,-0.00642702,0,0,0.00642702,0.000882942,1.40328e-06,0.000188679,2.4245e-10,23146.3,-0.336336,-0.198999,14,1,0
0.2,0.0015,0.0005,0.200006,1.0708e-06,1.0708e-06,1.0708e-06,-9.49967e-09,0,0,1.85471e-06,0.0516986,7.3721e-08,0,0.0516986,0,0,0,0,0,0,0,0.0516986,7.3721e-08,0,0.0516986,0.999943,0.0015,1.74111e-08,-1.76537e-08,2.42516e-10,-0.00641463,0,0,0.00641463,0.000969026,1.60621e-06,0.000188679,2.82334e-10,18236.3,-0.347507,-0.20036,15,1,0
0.2,0.0016,0.0005,0.200007,1.20609e-06,1.20609e-06,1.20609e-06,-1.08404e-08,0,0,2.08904e-06,0.0551147,7.88264e-08,0,0.0551147,0,0,0,0,0,0,0,0.0551147,7.88264e-08,0,0.0551147,0.999976,0.0016,1.73508e-08,-1.75694e-08,2.18537e-10,-0.00640224,0,0,0.00640224,0.00105511,1.80914e-06,0.000188679,3.22218e-10,13326.4,-0.358679,-0.201721,16,1,0
0.2,0.0017,0.0005,0.200008,1.45053e-06,1.45053e-06,1.45053e-06,-1.4985e-08,0,0,2.51244e-06,0.0585126,8.3658e-08,0,0.0585126,0,0,0,0,0,0,0,0.0585126,8.3658e-08,0,0.0585126,0.999997,0.0017,1.7252e-08,-1.74432e-08,1.91146e-10,-0.00638991,0,0,0.00638991,0.00115217,2.1758e-06,0.00018868,4.47103e-10,9801.98,-0.369397,-0.202628,17,1,0
0.2,0.0018,0.0005,0.200009,1.91328e-06,1.91328e-06,1.91328e-06,-2.47374e-08,0,0,3.31399e-06,0.0618741,8.79419e-08,0,0.0618741,0,0,0,0,0,0,0,0.0618741,8.79419e-08,0,0.0618741,0.999997,0.0018,1.70762e-08,-1.72331e-08,1.56929e-10,-0.00637767,0,0,0.00637767,0.0012712,2.86992e-06,0.00018868,7.4199e-10,9048.53,-0.379207,-0.202628,18,1,0
