Points_0,Points_1,Points_2,Points_Magnitude,R_0,R_1,R_2,R_3,R_4,R_5,R_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,U_0,U_1,U_2,U_Magnitude,alpha.water,arc_length,devReff_0,devReff_1,devReff_2,devReff_3,devReff_4,devReff_5,devReff_Magnitude,epsilon,k,nuEff,nut,omega,p,p_rgh,Point ID,vtkValidPointMask,yPlus
0.2,0,0.0005,0.200001,1.44968e-08,1.44968e-08,1.44968e-08,0,0,0,2.51092e-08,0,0,0,0,0,0,0,0,0,0,0,0.019728,-1.30834e-08,0,0.019728,1.00067,0,-1.19226e-08,1.18859e-08,3.669e-11,-0.00893345,0,0,0.00893345,0.000170154,2.17452e-08,0.000188679,0,86943.4,-0.175909,-0.175909,0,1,0.000178364
0.2,0.0001,0.0005,0.200001,3.95472e-08,3.95472e-08,3.95472e-08,-1.21399e-10,0,0,6.84978e-08,0.00470802,-3.58067e-09,0,0.00470802,0,0,0,0,0,0,0,0.0220687,-1.50941e-08,0,0.0220687,1.00064,0.0001,-1.1833e-08,1.18641e-08,-3.11043e-11,-0.00892133,0,0,0.00892133,0.000212412,5.93207e-08,0.000188679,2.60811e-12,82626.4,-0.187406,-0.177595,1,1,0.00015696
0.2,0.0002,0.0005,0.200001,6.45975e-08,6.45975e-08,6.45975e-08,-2.42798e-10,0,0,1.11886e-07,0.00941605,-7.16134e-09,0,0.00941605,0,0,0,0,0,0,0,0.0244094,-1.71048e-08,0,0.0244094,1.0006,0.0002,-1.17434e-08,1.18422e-08,-9.88987e-11,-0.00890921,0,0,0.00890921,0.000254669,9.68963e-08,0.000188679,5.21622e-12,78309.4,-0.198904,-0.179281,2,1,0.000135557
0.2,0.0003,0.0005,0.200001,8.96479e-08,8.96479e-08,8.96479e-08,-3.64198e-10,0,0,1.55275e-07,0.0141241,-1.0742e-08,0,0.0141241,0,0,0,0,0,0,0,0.02675,-1.91154e-08,0,0.02675,1.00056,0.0003,-1.16538e-08,1.18204e-08,-1.66693e-10,-0.00889709,0,0,0.00889709,0.000296926,1.34472e-07,0.000188679,7.82433e-12,73992.5,-0.210402,-0.180967,3,1,0.000114153
0.2,0.0004,0.0005,0.200001,1.14698e-07,1.14698e-07,1.14698e-07,-4.85597e-10,0,0,1.98664e-07,0.0188321,-1.43227e-08,0,0.0188321,0,0,0,0,0,0,0,0.0290907,-2.11261e-08,0,0.0290907,1.00052,0.0004,-1.15642e-08,1.17986e-08,-2.34487e-10,-0.00888497,0,0,0.00888497,0.000339183,1.72047e-07,0.000188679,1.04324e-11,69675.5,-0.221899,-0.182653,4,1,9.27493e-05
0.2,0.0005,0.0005,0.200001,1.39749e-07,1.39749e-07,1.39749e-07,-6.06996e-10,0,0,2.42053e-07,0.0235401,-1.79034e-08,0,0.0235401,0,0,0,0,0,0,0,0.0314313,-2.31367e-08,0,0.0314313,1.00048,0.0005,-1.14746e-08,1.17768e-08,-3.02282e-10,-0.00887285,0,0,0.00887285,0.00038144,2.09623e-07,0.000188679,1.30406e-11,65358.5,-0.233397,-0.18434,5,1,7.13456e-05
0.2,0.0006,0.0005,0.200002,1.64799e-07,1.64799e-07,1.64799e-07,-7.28395e-10,0,0,2.85441e-07,0.0282481,-2.1484e-08,0,0.0282481,0,0,0,0,0,0,0,0.033772,-2.51474e-08,0,0.033772,1.00044,0.0006,-1.1385e-08,1.1755e-08,-3.70076e-10,-0.00886073,0,0,0.00886073,0.000423697,2.47198e-07,0.000188679,1.56487e-11,61041.5,-0.244895,-0.186026,6,1,4.99419e-05
0.2,0.0007,0.0005,0.200002,1.89849e-07,1.89849e-07,1.89849e-07,-8.49794e-10,0,0,3.2883e-07,0.0329562,-2.50647e-08,0,0.0329562,0,0,0,0,0,0,0,0.0361126,-2.7158e-08,0,0.0361126,1.0004,0.0007,-1.12954e-08,1.17332e-08,-4.3787e-10,-0.00884861,0,0,0.00884861,0.000465954,2.84774e-07,0.000188679,1.82568e-11,56724.5,-0.256393,-0.187712,7,1,2.85382e-05
0.2,0.0008,0.0005,0.200002,2.149e-07,2.149e-07,2.149e-07,-9.71194e-10,0,0,3.72219e-07,0.0376642,-2.86454e-08,0,0.0376642,0,0,0,0,0,0,0,0.0384533,-2.91687e-08,0,0.0384533,1.00036,0.0008,-1.12058e-08,1.17114e-08,-5.05665e-10,-0.00883649,0,0,0.00883649,0.000508211,3.22349e-07,0.000188679,2.08649e-11,52407.5,-0.26789,-0.189398,8,1,7.13456e-06
0.2,0.0009,0.0005,0.200003,3.42465e-07,3.42465e-07,3.42465e-07,-2.62811e-09,0,0,5.93173e-07,0.0423364,-3.17739e-08,0,0.0423364,0,0,0,0,0,0,0,0.0423364,-3.17739e-08,0,0.0423364,1.00032,0.0009,-1.09065e-08,1.14036e-08,-4.97089e-10,-0.00882428,0,0,0.00882428,0.00059816,5.13698e-07,0.000188679,5.68768e-11,47695.3,-0.279386,-0.191084,9,1,0
0.2,0.001,0.0005,0.200003,5.21288e-07,5.21288e-07,5.21288e-07,-5.05278e-09,0,0,9.02912e-07,0.0469908,-3.46764e-08,0,0.0469908,0,0,0,0,0,0,0,0.0469908,-3.46764e-08,0,0.0469908,1.00028,0.001,-1.05024e-08,1.09528e-08,-4.50328e-10,-0.00881202,0,0,0.00881202,0.000711956,7.81932e-07,0.000188679,1.09591e-10,42785.4,-0.290881,-0.192771,10,1,0
0.2,0.0011,0.0005,0.200004,7.00111e-07,7.00111e-07,7.00111e-07,-7.47745e-09,0,0,1.21265e-06,0.0516452,-3.7579e-08,0,0.0516452,0,0,0,0,0,0,0,0.0516452,-3.7579e-08,0,0.0516452,1.00023,0.0011,-1.00984e-08,1.0502e-08,-4.03566e-10,-0.00879976,0,0,0.00879976,0.000825751,1.05017e-06,0.000188679,1.62305e-10,37875.5,-0.302376,-0.194457,11,1,0
0.2,0.0012,0.0005,0.200004,8.78934e-07,8.78934e-07,8.78934e-07,-9.90212e-09,0,0,1.52239e-06,0.0562996,-4.04815e-08,0,0.0562996,0,0,0,0,0,0,0,0.0562996,-4.04815e-08,0,0.0562996,1.00019,0.0012,-9.6943e-09,1.00511e-08,-3.56805e-10,-0.0087875,0,0,0.0087875,0.000939546,1.3184e-06,0.000188679,2.15018e-10,32965.6,-0.313871,-0.196143,12,1,0
0.2,0.0013,0.0005,0.200005,1.05776e-06,1.05776e-06,1.05776e-06,-1.23268e-08,0,0,1.83213e-06,0.0609539,-4.3384e-08,0,0.0609539,0,0,0,0,0,0,0,0.0609539,-4.3384e-08,0,0.0609539,1.00015,0.0013,-9.29023e-09,9.60028e-09,-3.10044e-10,-0.00877524,0,0,0.00877524,0.00105334,1.58664e-06,0.000188679,2.67732e-10,28055.7,-0.325365,-0.197829,13,1,0
0.2,0.0014,0.0005,0.200006,1.23658e-06,1.23658e-06,1.23658e-06,-1.47515e-08,0,0,2.14187e-06,0.0656083,-4.62865e-08,0,0.0656083,0,0,0,0,0,0,0,0.0656083,-4.62865e-08,0,0.0656083,1.00011,0.0014,-8.88616e-09,9.14945e-09,-2.63283e-10,-0.00876298,0,0,0.00876298,0.00116714,1.85487e-06,0.000188679,3.20446e-10,23145.8,-0.33686,-0.199516,14,1,0
0.2,0.0015,0.0005,0.200006,1.4154e-06,1.4154e-06,1.4154e-06,-1.71761e-08,0,0,2.45161e-06,0.0702627,-4.9189e-08,0,0.0702627,0,0,0,0,0,0,0,0.0702627,-4.9189e-08,0,0.0702627,1.00007,0.0015,-8.48209e-09,8.69861e-09,-2.16522e-10,-0.00875072,0,0,0.00875072,0.00128093,2.1231e-06,0.000188679,3.7316e-10,18235.9,-0.348355,-0.201202,15,1,0
0.2,0.0016,0.0005,0.200007,1.59423e-06,1.59423e-06,1.59423e-06,-1.96008e-08,0,0,2.76135e-06,0.074917,-5.20915e-08,0,0.074917,0,0,0,0,0,0,0,0.074917,-5.20915e-08,0,0.074917,1.00003,0.0016,-8.07802e-09,8.24778e-09,-1.69761e-10,-0.00873846,0,0,0.00873846,0.00139473,2.39134e-06,0.000188679,4.25874e-10,13326,-0.35985,-0.202888,16,1,0
0.2,0.0017,0.0005,0.200008,1.91729e-06,1.91729e-06,1.91729e-06,-2.71155e-08,0,0,3.32095e-06,0.0795532,-5.44875e-08,0,0.0795532,0,0,0,0,0,0,0,0.0795532,-5.44875e-08,0,0.0795532,1,0.0017,-7.67146e-09,7.79356e-09,-1.22112e-10,-0.00872614,0,0,0.00872614,0.00152306,2.87593e-06,0.00018868,5.90838e-10,9801.65,-0.370783,-0.204013,17,1,0
