Points_0,Points_1,Points_2,Points_Magnitude,R_0,R_1,R_2,R_3,R_4,R_5,R_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,U_0,U_1,U_2,U_Magnitude,alpha.water,arc_length,devReff_0,devReff_1,devReff_2,devReff_3,devReff_4,devReff_5,devReff_Magnitude,epsilon,k,nuEff,nut,p,p_rgh,Point ID,vtkValidPointMask,yPlus
0.2,0,0.0005,0.200001,0.000107962,0.000107962,0.000107962,0,0,0,0.000186997,0,0,0,0,0,0,0,0,0,0,0,0.0217509,1.38142e-08,0,0.0217509,0.99979,0,1.5733e-08,-1.4122e-08,-1.611e-09,-0.00984945,0,0,0.00984945,0.352068,0.000161944,0.000188679,0,-0.177211,-0.177211,0,1,0.0153925
0.2,0.0001,0.0005,0.200001,0.000159629,0.000159629,0.000159629,-3.44962e-06,0,0,0.000276507,0.00477539,-3.25714e-12,0,0.00477539,3.39406e-06,1.71213e-16,0,1.77933e-12,0,0,3.39406e-06,0.0243253,1.73714e-08,0,0.0243253,0.999802,0.0001,1.60555e-08,-1.47854e-08,-1.2701e-09,-0.00983158,0,0,0.00983158,0.341062,0.000239443,0.000188747,6.80619e-08,-0.187522,-0.177713,1,1,0.0135454
0.2,0.0002,0.0005,0.200001,0.000211296,0.000211296,0.000211296,-6.89923e-06,0,0,0.00036604,0.00955079,-6.51428e-12,0,0.00955079,6.78812e-06,3.42426e-16,0,3.55867e-12,0,0,6.78812e-06,0.0268996,2.09286e-08,0,0.0268996,0.999814,0.0002,1.63781e-08,-1.54489e-08,-9.29201e-10,-0.00981372,0,0,0.00981372,0.330056,0.000316943,0.000188815,1.36124e-07,-0.197834,-0.178215,2,1,0.0116983
0.2,0.0003,0.0005,0.200001,0.000262962,0.000262962,0.000262962,-1.03489e-05,0,0,0.000455582,0.0143262,-9.77142e-12,0,0.0143262,1.01822e-05,5.13639e-16,0,5.338e-12,0,0,1.01822e-05,0.029474,2.44858e-08,0,0.029474,0.999826,0.0003,1.67007e-08,-1.61124e-08,-5.88304e-10,-0.00979585,0,0,0.00979585,0.31905,0.000394443,0.000188883,2.04186e-07,-0.208145,-0.178717,3,1,0.00985117
0.2,0.0004,0.0005,0.200001,0.000314629,0.000314629,0.000314629,-1.37985e-05,0,0,0.000545128,0.0191016,-1.30286e-11,0,0.0191016,1.35762e-05,6.84852e-16,0,7.11734e-12,0,0,1.35762e-05,0.0320483,2.8043e-08,0,0.0320483,0.999838,0.0004,1.70232e-08,-1.67758e-08,-2.47407e-10,-0.00977799,0,0,0.00977799,0.308045,0.000471943,0.000188951,2.72247e-07,-0.218456,-0.179218,4,1,0.00800407
0.2,0.0005,0.0005,0.200001,0.000366296,0.000366295,0.000366296,-1.72481e-05,0,0,0.000634677,0.023877,-1.62857e-11,0,0.023877,1.69703e-05,8.56065e-16,0,8.89667e-12,0,0,1.69703e-05,0.0346227,3.16002e-08,0,0.0346227,0.99985,0.0005,1.73458e-08,-1.74393e-08,9.34895e-11,-0.00976012,0,0,0.00976012,0.297039,0.000549443,0.000189019,3.40309e-07,-0.228768,-0.17972,5,1,0.00615698
0.2,0.0006,0.0005,0.200002,0.000417962,0.000417962,0.000417962,-2.06977e-05,0,0,0.000724227,0.0286524,-1.95428e-11,0,0.0286524,2.03643e-05,1.02728e-15,0,1.0676e-11,0,0,2.03643e-05,0.037197,3.51574e-08,0,0.037197,0.999862,0.0006,1.76683e-08,-1.81027e-08,4.34386e-10,-0.00974225,0,0,0.00974225,0.286033,0.000626943,0.000189088,4.08371e-07,-0.239079,-0.180222,6,1,0.00430989
0.2,0.0007,0.0005,0.200002,0.000469629,0.000469628,0.000469629,-2.41473e-05,0,0,0.000813779,0.0334278,-2.28e-11,0,0.0334278,2.37584e-05,1.19849e-15,0,1.24553e-11,0,0,2.37584e-05,0.0397714,3.87146e-08,0,0.0397714,0.999874,0.0007,1.79909e-08,-1.87662e-08,7.75283e-10,-0.00972439,0,0,0.00972439,0.275028,0.000704443,0.000189156,4.76433e-07,-0.24939,-0.180724,7,1,0.00246279
0.2,0.0008,0.0005,0.200002,0.000521295,0.000521295,0.000521295,-2.75969e-05,0,0,0.000903331,0.0382032,-2.60571e-11,0,0.0382032,2.71525e-05,1.3697e-15,0,1.42347e-11,0,0,2.71525e-05,0.0423457,4.22718e-08,0,0.0423457,0.999886,0.0008,1.83135e-08,-1.94296e-08,1.11618e-09,-0.00970652,0,0,0.00970652,0.264022,0.000781943,0.000189224,5.44495e-07,-0.259702,-0.181226,8,1,0.000615698
0.2,0.0009,0.0005,0.200003,0.000622562,0.000622561,0.000622562,-4.43139e-05,0,0,0.00107922,0.0429067,7.19485e-11,0,0.0429067,3.35434e-05,1.63935e-15,0,1.61665e-11,0,0,3.35434e-05,0.0465823,4.73354e-08,0,0.0465823,0.999898,0.0009,1.82783e-08,-1.94998e-08,1.22148e-09,-0.0096882,0,0,0.0096882,0.251156,0.000933843,0.00018957,8.90552e-07,-0.270014,-0.181728,9,1,0
